Price,Close,High,Low,Open,Volume
Ticker,PDD,PDD,PDD,PDD,PDD
Date,,,,,
2025-04-25,104.01000213623047,104.12000274658203,102.1500015258789,102.91999816894531,5063300
2025-04-28,103.08999633789062,105.16999816894531,101.88999938964844,103.66000366210938,4638300
2025-04-29,104.1500015258789,105.0999984741211,103.13999938964844,103.31999969482422,5115800
2025-04-30,105.56999969482422,105.68000030517578,102.80999755859375,102.93000030517578,5047500
2025-05-01,105.97000122070312,107.04000091552734,105.16000366210938,106.36000061035156,3633200
2025-05-02,110.91999816894531,111.61000061035156,109.08999633789062,109.9000015258789,9152600
2025-05-05,110.8499984741211,111.16999816894531,107.81999969482422,108.52999877929688,4139800
2025-05-06,111.31999969482422,112.55999755859375,109.76000213623047,109.8499984741211,4666900
2025-05-07,109.38999938964844,109.72000122070312,108.33000183105469,109.48999786376953,5596100
2025-05-08,109.9000015258789,111.30000305175781,109.38999938964844,110.12999725341797,4612000
2025-05-09,109.6500015258789,111.66000366210938,108.8499984741211,110.05999755859375,3849500
2025-05-12,116.37999725341797,120.08999633789062,116.01000213623047,117.45999908447266,15852800
2025-05-13,119.44999694824219,121.88999938964844,115.55000305175781,116.81999969482422,9821400
2025-05-14,118.88999938964844,122.98999786376953,117.2699966430664,121.83999633789062,6947400
2025-05-15,117.83999633789062,117.91999816894531,114.25,115.62999725341797,8446800
2025-05-16,117.61000061035156,119.51000213623047,117.5,119.16000366210938,4361000
2025-05-19,118.44999694824219,118.73999786376953,115.55999755859375,116.0,5279400
2025-05-20,117.37999725341797,119.95999908447266,116.33000183105469,117.94000244140625,4983600
2025-05-21,116.19999694824219,118.44000244140625,115.58000183105469,117.12000274658203,4794700
2025-05-22,119.80000305175781,120.0,115.47000122070312,116.0,6344400
2025-05-23,119.23999786376953,119.4000015258789,116.44000244140625,116.44000244140625,7592400
2025-05-27,102.9800033569336,103.19999694824219,97.31999969482422,98.22000122070312,51047400
2025-05-28,97.87999725341797,100.61000061035156,97.48999786376953,100.5199966430664,18974900
2025-05-29,98.29000091552734,101.16000366210938,98.11000061035156,100.1500015258789,15177400
2025-05-30,96.51000213623047,97.69999694824219,95.23999786376953,97.55999755859375,17185000
2025-06-02,96.44000244140625,96.72000122070312,95.31999969482422,96.69000244140625,6288200
2025-06-03,98.33000183105469,98.94000244140625,95.5199966430664,96.4000015258789,7574900
2025-06-04,99.6500015258789,101.16000366210938,97.83000183105469,98.81999969482422,9816700
2025-06-05,99.33000183105469,101.13999938964844,98.91000366210938,101.11000061035156,7630400
2025-06-06,100.5999984741211,100.83999633789062,99.19000244140625,99.29000091552734,5484100
2025-06-09,101.62000274658203,103.55000305175781,101.61000061035156,102.0,7964200
2025-06-10,102.38999938964844,102.51000213623047,99.0199966430664,100.88999938964844,5497200
2025-06-11,103.16000366210938,104.26000213623047,102.80000305175781,103.06999969482422,6255700
2025-06-12,103.43000030517578,103.55999755859375,102.29000091552734,103.0,4925400
2025-06-13,100.58000183105469,102.72000122070312,100.05000305175781,101.66000366210938,7194300
2025-06-16,102.79000091552734,103.0,101.41999816894531,102.12000274658203,6561900
2025-06-17,102.52999877929688,103.41000366210938,101.54000091552734,101.8499984741211,4466300
2025-06-18,102.25,103.0,101.55999755859375,102.4000015258789,4371500
2025-06-20,101.20999908447266,102.91999816894531,100.44999694824219,102.68000030517578,12509000
2025-06-23,101.94999694824219,102.0,99.6500015258789,100.3499984741211,4732400
2025-06-24,107.16000366210938,107.75,102.73999786376953,102.73999786376953,11724000
2025-06-25,107.13999938964844,108.68000030517578,106.81999969482422,107.86000061035156,4822400
2025-06-26,105.75,106.81999969482422,103.6500015258789,106.80999755859375,4836000
2025-06-27,105.13999938964844,106.02999877929688,104.58999633789062,106.02999877929688,4081600
2025-06-30,104.66000366210938,105.13999938964844,102.25,104.43000030517578,5701300
2025-07-01,105.48999786376953,105.81999969482422,104.4000015258789,104.44999694824219,3637700
2025-07-02,103.97000122070312,104.87999725341797,102.91999816894531,104.77999877929688,4246000
2025-07-03,103.58999633789062,104.0999984741211,102.66000366210938,102.9000015258789,2746300
2025-07-07,105.25,105.69999694824219,102.37999725341797,102.58000183105469,5216300
2025-07-08,106.30999755859375,108.81999969482422,106.27999877929688,106.83000183105469,5264200
2025-07-09,105.0,106.05000305175781,103.91000366210938,105.98999786376953,4478400
2025-07-10,104.97000122070312,106.05000305175781,104.1500015258789,105.4800033569336,3443500
2025-07-11,104.91000366210938,107.18000030517578,104.87000274658203,105.16000366210938,4582300
2025-07-14,102.41000366210938,105.69000244140625,102.08000183105469,105.69000244140625,6842200
2025-07-15,105.05999755859375,106.54000091552734,103.6500015258789,104.5,6772700
2025-07-16,105.12999725341797,105.86000061035156,103.31999969482422,104.5,4292200
2025-07-17,107.94999694824219,109.29000091552734,104.88999938964844,105.1500015258789,7593400
2025-07-18,109.0,111.18000030517578,108.6500015258789,110.11000061035156,10525100
2025-07-21,111.66000366210938,112.66999816894531,109.04000091552734,109.43000030517578,9333300
2025-07-22,115.04000091552734,115.56999969482422,111.4800033569336,112.87000274658203,8608200
2025-07-23,118.45999908447266,121.48999786376953,117.9000015258789,118.0,12684400
2025-07-24,118.20999908447266,121.0,117.27999877929688,119.98999786376953,7485900
2025-07-25,118.44999694824219,118.69000244140625,116.51000213623047,116.68000030517578,4987800
2025-07-28,116.76000213623047,120.83999633789062,116.25,118.5999984741211,5443200
2025-07-29,115.41999816894531,117.0999984741211,114.93000030517578,116.48999786376953,7547500
2025-07-30,112.91999816894531,115.69000244140625,112.72000122070312,114.33999633789062,7266800
2025-07-31,113.44999694824219,114.29000091552734,110.93000030517578,112.02999877929688,4647500
2025-08-01,110.05999755859375,111.81999969482422,108.87000274658203,111.19999694824219,7646100
2025-08-04,112.04000091552734,113.05999755859375,111.44000244140625,111.81999969482422,3842600
2025-08-05,112.62000274658203,114.45999908447266,112.25,112.63999938964844,3181900
2025-08-06,113.94000244140625,115.44000244140625,112.81999969482422,113.6500015258789,4374100
2025-08-07,114.19000244140625,115.8499984741211,114.16999816894531,114.44000244140625,5153900
2025-08-08,114.26000213623047,114.97000122070312,113.12999725341797,114.05999755859375,4328500
2025-08-11,113.04000091552734,114.61000061035156,112.05000305175781,114.43000030517578,4445800
2025-08-12,116.43000030517578,117.6500015258789,112.91000366210938,113.47000122070312,7939900
2025-08-13,116.62999725341797,120.18000030517578,116.02999877929688,119.0,6696900
2025-08-14,114.73999786376953,117.38999938964844,113.91999816894531,115.86000061035156,5151700
2025-08-15,118.94999694824219,119.91999816894531,116.33000183105469,117.01000213623047,10085100
2025-08-18,118.33999633789062,121.4000015258789,118.33000183105469,120.5,6781600
2025-08-19,119.06999969482422,120.13999938964844,117.25,118.05000305175781,6033800
2025-08-20,118.0,121.33999633789062,117.86000061035156,119.06999969482422,5640700
2025-08-21,122.95999908447266,123.37000274658203,117.79000091552734,118.02999877929688,13413800
2025-08-22,127.11000061035156,129.0,125.81999969482422,127.4800033569336,20172300
2025-08-25,128.2100067138672,133.3300018310547,124.22000122070312,125.8499984741211,31306000
2025-08-26,123.91000366210938,132.6999969482422,123.04000091552734,128.5,15955900
2025-08-27,122.22000122070312,122.4800033569336,120.01000213623047,121.75,10451100
2025-08-28,122.22000122070312,123.04000091552734,121.22000122070312,122.30999755859375,5667900
2025-08-29,120.22000122070312,123.08000183105469,119.83000183105469,122.81999969482422,11937600
2025-09-02,121.69000244140625,122.0999984741211,118.7699966430664,119.38999938964844,8217300
2025-09-03,124.38999938964844,124.75,119.97000122070312,120.83999633789062,7760700
2025-09-04,123.87000274658203,125.18000030517578,123.04000091552734,123.47000122070312,7811400
2025-09-05,124.68000030517578,126.58999633789062,124.12999725341797,125.81999969482422,8495100
2025-09-08,125.02999877929688,126.04000091552734,123.48999786376953,125.70999908447266,6793800
2025-09-09,126.05999755859375,128.0,124.5199966430664,124.98999786376953,9153800
2025-09-10,124.68000030517578,126.2699966430664,123.69000244140625,126.05999755859375,7619700
2025-09-11,125.72000122070312,128.0,125.01000213623047,125.66999816894531,9601500
2025-09-12,125.44000244140625,126.05999755859375,123.7699966430664,125.9800033569336,4868900
2025-09-15,127.38999938964844,128.58999633789062,124.51000213623047,126.05999755859375,12331500
2025-09-16,129.05999755859375,130.0,127.4800033569336,127.58999633789062,12083100
2025-09-17,134.86000061035156,135.3699951171875,131.60000610351562,132.86000061035156,24258500
2025-09-18,132.9600067138672,134.4600067138672,132.4499969482422,133.42999267578125,8979500
2025-09-19,129.47000122070312,134.10000610351562,129.0,134.08999633789062,17408300
2025-09-22,128.57000732421875,130.69000244140625,128.44000244140625,128.80999755859375,7296000
2025-09-23,128.52000427246094,130.6199951171875,127.0,128.1999969482422,7937700
2025-09-24,130.9600067138672,133.0,130.16000366210938,131.55999755859375,9581100
2025-09-25,131.00999450683594,131.67999267578125,129.42999267578125,130.17999267578125,4823400
2025-09-26,129.99000549316406,131.1300048828125,128.1999969482422,129.47000122070312,5482100
2025-09-29,130.6699981689453,133.61000061035156,130.36000061035156,132.0,8324800
