Ticker,Weight,Investment($),Price,Shares,CurrentValue($)
ADBE,0.0916,916.44,353.52,2.5923,916.44
BIIB,0.1219,1219.39,149.89,8.1352,1219.39
BKR,0.1215,1214.75,47.3,25.6819,1214.75
CRWD,0.1242,1242.36,527.32,2.356,1242.36
CTSH,0.0998,998.4,67.86,14.7127,998.4
HON,0.0818,817.74,216.14,3.7834,817.74
KDP,0.0962,961.91,27.16,35.4165,961.91
MU,0.0828,828.31,219.02,3.7819,828.31
NVDA,0.0968,967.76,186.26,5.1957,967.76
ZS,0.0833,832.94,323.0,2.5788,832.94
