Ticker,Weight,Investment($),Price,Shares,CurrentValue($)
AMD,0.1564,1564.12,252.92,6.1843,1564.12
ASML,0.118,1179.51,1033.1,1.1417,1179.51
CSGP,0.0578,578.32,77.89,7.4248,578.32
DXCM,0.0042,42.25,70.33,0.6007,42.25
INTC,0.1317,1316.58,38.28,34.3934,1316.58
ISRG,0.122,1220.19,546.51,2.2327,1220.19
NFLX,0.1264,1264.07,1094.69,1.1547,1264.07
TXN,0.1463,1462.55,169.13,8.6475,1462.55
WBD,0.1372,1372.41,21.15,64.8895,1372.41
