Ticker,Weight,Investment($),Price,Shares,CurrentValue($),NewPrice,Change(%),NewValue($)
ASML,0.2321,2320.76,1052.48,2.205,2320.76,1747.5799560546875,66.04400616208265,3853.413803100586
CSGP,0.0505,504.59,78.23,6.45,504.59,29.780000686645508,-61.932761489651654,192.08100442886354
INTC,0.1623,1623.08,41.53,39.0822,1623.08,95.04000091552734,128.84661910793963,3714.3723237808226
MU,0.0465,465.47,221.91,2.0975,465.47,848.9500122070312,282.5650093312745,1780.6726506042482
NFLX,0.2171,2170.82,1102.5,1.969,2170.82,68.94999694824219,-93.74603202283518,135.76254399108888
TXN,0.1213,1212.55,166.91,7.2647,1212.55,284.0199890136719,70.16355461846018,2063.3200141876223
WBD,0.1703,1702.73,20.99,81.1211,1702.73,26.8700008392334,28.013343683818004,2179.724025079536
