Ticker,Weight,Investment($),Price,Shares,CurrentValue($),NewPrice,Change(%),NewValue($)
ASML,0.2299,2299.2,1052.48,2.1846,2299.2,1743.93994140625,65.69815496790912,3809.811195996094
CSGP,0.0517,516.88,78.23,6.6072,516.88,28.09000015258789,-64.09305873374934,185.59624900817872
INTC,0.1634,1633.95,41.53,39.3438,1633.95,123.0,196.17144233084517,4839.2874
MU,0.0431,431.23,221.91,1.9433,431.23,1082.280029296875,387.711247486312,2103.194780932617
NFLX,0.2159,2159.14,1102.5,1.9584,2159.14,71.1500015258789,-93.54648512236926,139.34016298828124
TXN,0.1246,1245.94,166.91,7.4647,1245.94,278.07000732421875,66.59877019005378,2075.7091836730956
WBD,0.1714,1713.67,20.99,81.642,1713.67,30.860000610351562,47.02239452287549,2519.472169830322
