Ticker,Weight,Investment($),Price,Shares,CurrentValue($),NewPrice,Change(%),NewValue($)
PYPL,0.1283923099674952,1283.9230996749527,73.0199966430664,17.583171168179824,1283.9230996749527,44.04999923706055,-39.67406017233321,774.5386765434263
ARM,0.0487306010860938,487.3060108609387,173.08999633789062,2.815333186036148,487.3060108609387,123.77999877929688,-28.48806898252816,348.4819383308684
ABNB,0.1286691549997025,1286.6915499970255,128.00999450683594,10.051492892832789,1286.6915499970255,122.95999908447266,-3.9450008898278655,1235.9315569003031
KDP,0.0031683291820471,31.683291820471133,28.850000381469727,1.098207674230092,31.683291820471133,29.770000457763672,3.188908367865606,32.69364296454941
WBD,0.0717989945693787,717.9899456937876,20.989999771118164,34.20628649466342,717.9899456937876,28.920000076293945,37.779897054059575,989.2458080353988
XEL,0.0562377888401083,562.3778884010832,79.81999969482422,7.045576178291436,562.3778884010832,83.3499984741211,4.4224490012442,587.2487637098951
NFLX,0.0081833054341536,81.83305434153662,1102.5,0.0742249926000332,81.83305434153662,76.0199966430664,-93.10476220924568,5.642583688286153
CPRT,0.0904357049977564,904.3570499775642,44.06999969482422,20.520922537782,904.357049977564,35.36000061035156,-19.764009858832832,725.6198334609486
PEP,0.0365712200183183,365.7122001831835,150.1199951171875,2.4361325078494653,365.7122001831835,168.32000732421875,12.1236429516427,410.0498415639894
TMUS,0.0537111246144576,537.1112461445763,219.9900054931641,2.441525672680009,537.1112461445763,219.9499969482422,-0.018186528443508987,537.013564255023
MAR,0.0950574545096556,950.5745450965568,265.4549865722656,3.580925554916177,950.5745450965568,342.6199951171875,29.06896176309539,1226.8966961403926
KHC,0.0948674849768553,948.6748497685536,25.520000457763672,37.1737787128428,948.6748497685538,24.540000915527344,-3.8401235292227165,912.2445636467731
AXON,0.1311273715075802,1311.273715075802,755.0,1.7367863775838437,1311.273715075802,423.44000244140625,-43.9152314647144,735.4248279643039
GEHC,0.0424507237498812,424.50723749881206,79.4000015258789,5.346438656685064,424.507237498812,83.86000061035156,5.617127202471162,448.3523490128166
ROP,0.0100835475804954,100.83547580495492,456.1600036621094,0.2210528652127217,100.83547580495492,335.70001220703125,-26.40739882672972,74.2074495503099
CSCO,0.00051488396602,5.148839660200945,72.62000274658203,0.0709011218048085,5.148839660200945,77.73999786376953,7.050392348585355,5.511853057644676
