Ticker,Weight,Investment($),Price,Shares,CurrentValue($),NewPrice,Change(%),NewValue($)
ASML,0.14285714285714285,770.8825693604815,1052.48,0.5641746215181646,2340.8,1366.3900146484375,29.825746299068623,782.2708742503293
CSGP,0.14285714285714285,770.8825693604815,78.23,18.002862560824827,493.16,42.81999969482422,-45.263965620830604,770.6282136481752
INTC,0.14285714285714285,770.8825693604815,41.53,16.69299619459037,1612.99,46.18000030517578,11.196725993681156,795.6613648675074
MU,0.14285714285714285,770.8825693604815,221.91,1.7351668769522908,497.28,444.2699890136719,100.20277996199893,746.5091719525296
NFLX,0.14285714285714285,770.8825693604815,1102.5,8.40290590049079,2181.69,91.73999786376953,-91.67891175838825,751.5969946237121
TXN,0.14285714285714285,770.8825693604815,166.91,4.094123940984045,1181.52,188.2899932861328,12.809294401852988,765.7212020595834
WBD,0.14285714285714285,770.8825693604815,20.99,27.900202416766675,1692.57,27.6299991607666,31.634107483404495,783.7901641215337
